,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,Wilderness_Area,Cover_Type
0,2340,321,13,272,130,984,185,227,181,752,5,4,6
1,3003,315,16,67,0,3408,176,226,189,1126,22,3,1
2,2912,39,13,306,102,306,220,212,124,607,29,1,2
3,3292,285,29,999,194,3695,129,225,230,2356,27,3,1
4,2588,247,4,212,-8,300,212,242,168,6186,29,1,5
5,2199,333,4,0,0,792,210,234,163,1510,4,4,4
6,2275,32,9,0,0,1441,218,221,138,541,17,4,4
7,3236,252,9,324,17,920,199,247,186,2310,32,3,2
8,2342,0,31,228,72,706,159,166,131,573,10,4,6
9,2546,7,27,153,46,1650,178,177,127,1026,10,3,6
10,2314,274,29,210,50,1770,129,232,235,960,2,4,6
11,2181,116,7,30,2,216,233,233,133,404,2,4,3
12,2111,333,13,30,4,1099,191,223,172,612,14,4,6
13,3199,268,6,216,13,5918,204,243,178,1736,22,1,2
14,3076,332,14,120,39,2446,187,222,174,865,23,3,1
15,2136,232,26,95,52,1124,169,252,211,382,1,4,3
16,2293,345,34,127,40,1266,136,167,157,582,10,4,6
17,2840,200,23,497,144,819,205,253,172,1782,4,3,5
18,3463,113,24,395,70,2223,253,207,67,3435,40,1,7
19,2009,128,14,0,0,270,243,230,113,313,6,4,4
20,2950,328,9,30,8,4729,198,230,171,2229,23,1,5
21,2173,25,21,0,0,1590,205,189,114,175,14,4,4
22,3394,197,15,564,114,4342,215,252,167,2761,33,3,7
23,2597,210,24,134,41,1307,193,254,185,1342,3,3,3
24,2725,95,8,0,0,1490,233,229,128,2026,20,1,1
25,3292,189,6,60,10,2889,221,245,159,730,22,3,1
26,2177,144,31,30,14,1401,245,216,74,892,3,4,4
27,2396,41,9,433,199,808,221,220,133,1544,6,4,4
28,3112,118,22,134,29,872,251,214,79,1047,30,1,1
29,2705,240,13,120,10,1434,196,250,191,1159,33,3,5
30,2480,337,10,124,13,1355,197,225,167,841,10,3,6
31,3210,171,6,120,8,2424,225,243,153,1429,23,3,1
32,3029,11,11,335,96,642,208,217,145,1699,32,3,2
33,3195,11,20,150,20,1624,194,195,133,331,22,1,1
34,2386,76,17,335,161,509,238,207,93,1813,6,4,4
35,2848,107,21,95,35,930,250,210,77,2130,33,3,2
36,2975,67,12,277,20,3664,232,215,113,5378,29,1,2
37,3108,188,5,67,0,1259,220,244,159,1668,32,3,1
38,3190,356,24,30,12,1431,173,189,147,882,22,3,7
39,3240,267,9,309,46,3007,198,244,185,990,31,3,1
40,2300,338,26,42,19,1440,155,194,172,510,10,4,6
41,2856,272,11,874,179,2250,190,243,193,1660,17,3,5
42,2457,102,18,216,70,720,247,215,90,285,2,4,3
43,2755,320,4,30,-1,2890,209,236,165,5468,12,1,2
44,2256,359,19,0,0,864,188,202,149,516,10,4,3
45,3245,45,3,564,66,4387,220,233,150,2650,22,1,1
46,2075,105,24,42,10,518,252,203,66,170,3,4,4
47,2873,283,20,511,225,1199,160,236,214,1430,32,3,2
48,3049,64,24,531,39,571,233,184,70,1544,29,1,1
49,2845,51,16,210,62,2015,226,202,105,2092,33,3,5
50,2959,358,17,361,24,5143,192,207,151,1804,29,1,5
51,2519,116,18,228,54,553,248,220,93,1050,2,3,3
52,3246,80,7,680,98,6019,229,228,133,1565,29,1,1
53,2734,34,28,201,104,1323,204,168,85,664,33,3,6
54,2020,15,23,180,44,510,194,187,123,582,10,4,6
55,2277,0,28,218,61,636,168,177,137,990,10,4,6
56,3063,54,15,60,-5,1731,228,207,109,3056,29,1,1
57,2914,141,9,277,18,3471,234,238,135,4430,12,1,2
58,3421,311,18,525,80,1717,169,225,195,604,39,3,7
59,2219,43,35,180,124,618,203,143,49,882,10,4,6
60,2393,349,24,323,211,1188,168,193,158,1159,10,4,3
61,3205,337,10,430,88,495,199,227,167,1832,24,3,1
62,2865,85,15,400,193,430,240,213,99,1863,29,1,5
63,2826,320,17,67,26,2190,173,221,187,1448,33,3,1
64,2469,100,18,258,82,750,247,212,88,268,2,4,3
65,2365,57,21,212,71,1008,229,191,86,633,6,4,4
66,2856,124,30,190,110,2135,254,202,53,646,13,3,5
67,2340,289,22,268,98,769,154,232,216,339,10,4,3
68,2511,211,6,162,30,1071,216,245,166,4660,18,1,2
69,2325,281,12,30,5,1440,185,241,195,451,17,4,6
70,3118,37,5,0,0,1964,220,229,146,3029,23,3,1
71,2704,107,14,30,8,1282,243,223,106,726,31,3,5
72,3423,328,14,534,78,1765,185,222,177,566,39,3,7
73,3209,74,20,306,82,4092,239,198,81,3629,22,1,1
74,3182,41,10,180,66,1477,221,219,132,696,39,3,7
75,2933,351,19,283,89,2368,183,205,157,1860,33,3,1
76,2142,288,27,90,21,1113,134,225,226,1275,17,4,4
77,2955,235,21,451,55,5590,180,253,205,4074,29,1,2
78,2449,4,15,175,11,1071,199,210,147,162,6,4,6
79,2661,119,25,67,23,1380,253,210,70,663,30,1,5
80,2676,158,20,175,47,2430,237,239,123,2335,10,3,3
81,3337,75,9,95,15,1891,232,223,123,3340,38,1,7
82,3419,8,5,201,71,1008,214,230,153,1031,40,2,7
83,2738,106,12,324,109,864,241,225,112,997,33,3,2
84,2555,358,15,511,169,900,195,210,152,1177,10,4,3
85,2838,201,16,474,-7,1431,212,252,171,752,13,3,2
86,3497,306,11,324,37,5287,190,234,184,4290,38,3,7
87,2307,87,10,0,0,201,236,223,118,1142,14,4,4
88,3128,67,9,485,102,1681,229,222,125,3482,24,3,1
89,2885,105,33,255,141,2083,253,180,26,573,13,3,5
90,2678,172,7,272,93,1809,225,244,152,2684,4,3,6
91,2650,79,16,108,27,2410,239,210,96,1110,10,3,2
92,2598,57,18,601,-1,875,229,199,96,1065,11,3,3
93,2221,318,21,30,12,834,161,216,194,309,14,4,3
94,2541,58,22,85,31,1310,229,188,81,1558,10,3,6
95,2199,122,31,170,99,834,254,199,48,228,3,4,4
96,3439,356,12,541,207,1063,200,218,155,1477,40,2,7
97,2312,148,28,60,32,1563,244,224,89,659,3,4,3
98,2636,319,5,210,-3,1022,208,235,167,794,17,3,5
99,3037,346,13,418,0,3667,195,219,162,2696,29,1,2
100,2602,223,23,234,90,900,184,254,199,1575,4,3,3
101,2686,67,8,430,4,1673,228,224,129,5993,12,1,2
102,2971,322,22,361,158,4671,160,213,190,258,29,1,2
103,3020,57,23,450,21,537,229,185,78,1565,29,1,1
104,3304,163,12,30,-1,1082,231,243,141,1321,24,2,7
105,2950,115,27,390,208,1940,254,201,56,636,13,3,5
106,2775,160,16,390,183,2953,235,242,133,1383,4,3,3
107,2372,292,11,306,102,806,188,238,189,1024,6,4,6
108,3243,20,6,42,2,3171,216,227,148,2814,39,3,7
109,2993,286,14,30,10,2699,179,239,199,895,23,1,1
110,3250,275,15,180,21,3206,178,242,203,1279,31,3,1
111,3090,241,12,108,37,1557,196,250,191,1176,23,3,1
112,3343,62,9,134,21,1933,228,221,125,3377,38,1,7
113,3322,37,19,366,101,3466,216,196,108,2047,39,3,7
114,2990,284,12,180,46,1936,185,240,194,1172,29,1,1
115,3165,14,12,330,65,2605,209,216,143,1615,29,1,1
116,3276,221,9,300,49,3912,210,249,175,2463,23,1,7
117,3345,201,24,190,91,2210,201,252,174,808,39,3,7
118,3372,200,7,67,-3,2888,218,246,164,514,38,3,7
119,3376,48,6,0,0,4432,223,227,140,4186,40,1,7
120,3131,318,13,618,85,5272,185,228,183,872,29,1,2
121,2834,1,12,162,27,1431,203,218,152,1995,31,3,6
122,2630,100,35,180,61,1065,252,171,17,649,13,3,3
123,3361,80,18,600,82,1727,241,204,86,1740,39,1,7
124,2390,247,11,108,36,258,198,248,189,300,3,3,6
125,3001,260,8,720,134,5790,200,245,183,3903,29,1,2
126,2238,126,26,162,80,1398,252,212,70,787,3,4,4
127,3283,289,17,534,115,4230,171,236,204,2394,38,3,1
128,3168,250,18,430,98,5850,179,250,207,2285,30,1,2
129,2968,286,17,283,41,4735,171,237,206,1992,29,1,2
130,2601,35,15,272,101,1806,217,206,121,859,10,3,6
131,3358,298,4,424,19,870,210,238,167,2190,32,3,1
132,2240,3,34,466,83,618,155,156,123,752,10,4,3
133,2607,35,15,30,14,1317,217,206,121,1857,13,3,5
134,3422,337,29,234,123,1233,144,186,173,1613,39,2,7
135,2197,61,6,0,0,1505,225,227,136,834,17,4,4
136,2010,280,19,301,88,390,165,238,212,886,1,4,6
137,2174,141,20,0,0,1253,245,230,105,1041,4,4,4
138,2359,85,11,404,165,949,236,221,114,1425,6,4,4
139,3073,141,13,150,18,1842,239,236,125,1871,13,3,2
140,2718,63,6,0,0,1465,226,227,135,1365,19,3,5
141,2498,3,10,30,0,426,206,220,152,1518,6,4,6
142,3249,178,5,569,139,1661,223,243,155,2371,31,3,1
143,3403,130,29,285,174,3762,252,208,62,3128,39,3,7
144,2282,51,20,335,84,840,226,192,92,854,6,4,3
145,2560,180,21,90,15,1652,223,248,148,1590,4,3,3
146,2738,26,12,30,3,2761,214,214,134,5497,20,1,2
147,3522,322,18,277,28,1672,172,219,186,2106,40,2,7
148,2630,329,24,95,21,1897,155,203,184,2678,10,3,6
149,3400,124,5,228,51,1616,229,236,141,2932,40,1,7
150,3400,227,13,42,1,4231,202,252,185,3660,35,3,7
151,3024,135,9,703,214,721,235,236,133,1256,29,1,2
152,2083,21,28,228,115,234,190,169,103,470,10,4,6
153,2353,172,21,361,59,891,229,244,137,420,6,4,4
154,3369,315,7,192,15,1519,202,235,172,892,38,3,7
155,3014,326,9,30,5,4635,198,230,172,541,30,1,1
156,2975,86,16,162,30,1611,241,212,97,3492,29,1,1
157,3024,246,8,42,4,1261,205,246,179,957,32,3,2
158,3293,218,12,454,66,4066,207,251,179,2222,23,1,7
159,2268,14,9,30,0,1413,212,222,147,534,17,4,4
160,2582,191,15,270,78,924,218,251,162,1466,4,3,3
161,2924,272,32,816,547,886,122,231,238,2554,33,3,2
162,2465,113,12,134,21,513,240,228,117,1422,6,4,6
163,2722,75,34,95,57,95,238,156,20,1627,30,1,5
164,2321,319,29,30,15,738,133,199,199,779,10,4,6
165,2251,105,22,30,11,1505,251,207,72,351,3,4,3
166,2700,165,14,240,48,3643,232,244,140,2514,11,3,2
167,2824,242,16,60,17,1842,188,251,199,1315,23,3,5
168,2195,98,22,134,69,1240,249,204,72,616,3,4,4
169,2890,84,13,30,4,5918,238,218,108,4761,30,1,2
170,3178,100,18,481,24,3037,246,213,89,1128,32,3,2
171,2707,114,16,30,8,1441,246,222,99,1383,4,3,5
172,1965,78,22,170,60,175,242,193,70,722,3,4,3
173,3212,135,8,218,21,5689,233,237,135,3196,29,1,2
174,2269,194,22,170,89,1149,211,251,164,1153,3,4,4
175,2275,75,19,124,8,190,239,201,85,942,3,4,6
176,2928,32,7,618,86,2800,219,224,142,1200,31,3,1
177,2752,203,18,212,56,899,208,253,174,1964,4,3,5
178,2808,15,13,201,20,2431,208,213,141,3651,12,1,2
